2025-08-10 00:06:03 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-10 00:06:03 | RepitBot | INFO     | bot.py:168 | main | Database tables created/checked.
2025-08-10 00:06:07 | RepitBot | INFO     | bot.py:349 | main | Запускаем бота...
2025-08-10 00:06:08 | RepitBot | INFO     | bot.py:151 | initialize_systems | ✅ Бот инициализирован
2025-08-10 00:06:08 | RepitBot | INFO     | bot.py:155 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-10 00:06:08 | RepitBot | INFO     | bot.py:124 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-10 00:06:08 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-10 00:06:08 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-10 00:06:08 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-10 00:06:08 | RepitBot.HealthMonitor | INFO     | health_monitor.py:266 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-10 00:06:08 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-10 00:06:08 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-10 00:06:08 | RepitBot | INFO     | bot.py:144 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-10 00:09:11 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': 7722156884, 'message': '💬 Связь с репетитором', 'error': "'NoneType' object has no attribute 'role'"}
2025-08-10 00:09:11 | RepitBot.UserActions | INFO     | logger.py:129 | log_user_action | User 7722156884 - error_encountered | 'NoneType' object has no attribute 'role'
2025-08-10 00:18:10 | RepitBot | INFO     | bot.py:365 | main | Завершение работы бота
2025-08-10 00:18:14 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-10 00:18:14 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-10 00:18:14 | RepitBot | INFO     | bot.py:171 | main | Database tables created/checked.
2025-08-10 00:18:18 | RepitBot | INFO     | bot.py:356 | main | Запускаем бота...
2025-08-10 00:18:19 | RepitBot | INFO     | bot.py:154 | initialize_systems | ✅ Бот инициализирован
2025-08-10 00:18:19 | RepitBot | INFO     | bot.py:158 | initialize_systems | ✅ Подключение к Telegram API установлено. Бот: @roadtomathbot
2025-08-10 00:18:19 | RepitBot | INFO     | bot.py:127 | start_scheduler | ✅ Планировщик запущен с задачами: напоминания об уроках, балансе и дедлайнах ДЗ
2025-08-10 00:18:19 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: database_connection (интервал: 60с)
2025-08-10 00:18:19 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: disk_space (интервал: 300с)
2025-08-10 00:18:19 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: memory_usage (интервал: 120с)
2025-08-10 00:18:19 | RepitBot.HealthMonitor | INFO     | health_monitor.py:266 | setup_default_checks | ✅ Стандартные проверки здоровья настроены
2025-08-10 00:18:19 | RepitBot.HealthMonitor | INFO     | health_monitor.py:56 | add_check | Добавлена проверка здоровья: bot_connection (интервал: 120с)
2025-08-10 00:18:19 | RepitBot.HealthMonitor | INFO     | health_monitor.py:99 | start_monitoring | 🔍 Мониторинг здоровья запущен
2025-08-10 00:18:19 | RepitBot | INFO     | bot.py:147 | start_health_monitoring | ✅ Система мониторинга здоровья запущена
2025-08-10 00:51:16 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'httpx.RemoteProtocolError: Server disconnected without sending a response.'}
2025-08-10 00:51:17 | RepitBot | ERROR    | logger.py:228 | log_telegram_error | Telegram error: {'error_type': 'Global Error Handler', 'user_id': None, 'message': None, 'error': 'httpx.ConnectError: '}
2025-08-10 01:12:53 | RepitBot.HealthMonitor | WARNING  | health_monitor.py:149 | _handle_warning | ⚠️ WARNING: Health check bot_connection failed 1 times
2025-08-10 01:24:12 | RepitBot.HealthMonitor | WARNING  | health_monitor.py:149 | _handle_warning | ⚠️ WARNING: Health check bot_connection failed 1 times
2025-08-10 02:25:10 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-10 02:25:10 | RepitBot | INFO     | logger.py:120 | setup_logging | ✅ Система логирования инициализирована
2025-08-10 02:25:10 | RepitBot | INFO     | bot.py:171 | main | Database tables created/checked.
2025-08-10 02:25:13 | RepitBot | INFO     | bot.py:356 | main | Запускаем бота...
2025-08-10 02:25:15 | RepitBot | INFO     | bot.py:154 | initialize_systems | ✅ Бот инициализирован
